iter	Passed	Remaining
405	6778	9917
406	6795	9900
407	6811	9882
408	6827	9866
409	6841	9844
410	6858	9828
411	6875	9812
412	6890	9793
413	6904	9772
414	6920	9755
415	6936	9737
416	6950	9717
417	6966	9700
418	6982	9682
419	6998	9664
420	7016	9650
421	7034	9634
422	7050	9617
423	7063	9596
424	7077	9574
425	7093	9558
426	7113	9546
427	7133	9532
428	7149	9516
429	7163	9496
430	7177	9475
431	7190	9454
432	7203	9432
433	7222	9418
434	7238	9401
435	7252	9381
436	7266	9361
437	7282	9343
438	7297	9325
439	7310	9303
440	7324	9284
441	7341	9267
442	7360	9254
443	7376	9236
444	7390	9216
445	7404	9197
446	7419	9179
447	7437	9164
448	7452	9145
449	7465	9124
450	7483	9109
451	7500	9093
452	7512	9071
453	7526	9051
454	7539	9030
455	7554	9012
456	7579	9006
457	7599	8993
458	7614	8974
459	7630	8957
460	7644	8937
461	7662	8922
462	7677	8904
463	7692	8886
464	7705	8864
465	7723	8850
466	7740	8834
467	7757	8818
468	7774	8802
469	7792	8787
470	7813	8775
471	7829	8758
472	7846	8742
473	7863	8726
474	7881	8711
475	7898	8695
476	7913	8677
477	7929	8659
478	7941	8637
479	7956	8619
480	7977	8607
481	7994	8591
482	8010	8574
483	8029	8560
484	8048	8546
485	8066	8531
486	8083	8515
487	8102	8500
488	8118	8484
489	8139	8471
490	8159	8458
491	8177	8443
492	8195	8428
493	8218	8418
494	8239	8405
495	8254	8387
496	8270	8370
497	8289	8355
498	8303	8336
499	8323	8323
500	8341	8308
501	8358	8291
502	8372	8273
503	8394	8261
504	8412	8245
505	8429	8229
506	8448	8215
507	8469	8202
508	8489	8189
509	8506	8173
510	8525	8157
511	8544	8143
512	8562	8128
513	8585	8117
514	8601	8100
515	8621	8086
516	8636	8068
517	8649	8048
518	8663	8029
519	8678	8011
520	8691	7990
521	8706	7972
522	8722	7955
523	8737	7937
524	8752	7918
525	8768	7901
526	8783	7883
527	8798	7865
528	8812	7845
529	8826	7827
530	8842	7810
531	8857	7792
532	8870	7772
533	8884	7752
534	8898	7733
535	8911	7714
536	8927	7696
537	8940	7677
538	8954	7658
539	8967	7639
540	8980	7619
541	8994	7600
542	9009	7582
543	9023	7563
544	9037	7544
545	9052	7527
546	9066	7508
547	9080	7490
548	9094	7471
549	9110	7453
550	9123	7434
551	9137	7416
552	9151	7397
553	9166	7379
554	9180	7361
555	9194	7342
556	9208	7324
557	9223	7305
558	9238	7288
559	9252	7269
560	9266	7251
561	9280	7232
562	9295	7214
563	9308	7195
564	9321	7176
565	9335	7158
566	9350	7141
567	9366	7123
