iter	Logloss
0	0.6068348098
1	0.5555291734
2	0.5219406374
3	0.5020102013
4	0.4902852515
5	0.4812194059
6	0.4757457033
7	0.4719846878
8	0.4695507214
9	0.4680924056
10	0.4669534874
11	0.4664351416
12	0.4658624474
13	0.4655247721
14	0.4653624785
15	0.4651875355
16	0.4651000932
17	0.4650253849
18	0.4650077177
19	0.4650029237
20	0.464930098
21	0.464971596
22	0.4648693884
23	0.4649013599
24	0.4649183711
25	0.4648771995
26	0.4648404387
27	0.4648422684
28	0.4648697051
29	0.4648775308
30	0.4649094979
31	0.4649663762
32	0.464944871
33	0.4648805353
34	0.4649217711
35	0.4649217711
36	0.4649217711
37	0.4649125395
38	0.4649149638
39	0.4648826138
40	0.464890472
41	0.4649100184
42	0.4649174156
43	0.4648464662
44	0.4648522642
45	0.4648052811
46	0.4648053272
47	0.4648084336
48	0.4648084751
49	0.464810692
50	0.464810692
51	0.464810692
52	0.464810692
53	0.464810692
54	0.464810692
55	0.464810692
56	0.464810692
57	0.4648106966
58	0.4648106966
59	0.4648106966
60	0.4648106966
61	0.4648106966
62	0.4648106966
63	0.4648106873
64	0.4648106873
65	0.4648106873
66	0.4648106873
67	0.4648106873
68	0.4648106873
69	0.4648108118
70	0.4648108118
71	0.4648108118
72	0.4648108118
73	0.4648108118
74	0.4648108118
75	0.4648108118
76	0.4648108118
77	0.4648108118
78	0.4648108118
79	0.4648108118
80	0.4648108118
81	0.4648108118
82	0.464811351
83	0.4648099776
84	0.4648099776
85	0.4648138122
86	0.4648138122
87	0.4648138122
88	0.4648138122
89	0.4648138122
90	0.4648138122
91	0.4648147893
92	0.4648166236
93	0.4648166236
94	0.4648182413
95	0.4648183059
96	0.4648183059
97	0.4648183059
98	0.4648183059
99	0.4648183059
100	0.4648183059
101	0.4648183059
102	0.4648183059
103	0.4648183059
104	0.4648183059
105	0.4648183059
106	0.4648183059
107	0.4648183059
108	0.4648183059
109	0.4648183059
110	0.4648183059
111	0.4648183059
112	0.4648183059
113	0.4648183059
114	0.4648183059
115	0.4648183059
116	0.4648183059
117	0.4648183059
118	0.4648183059
119	0.4648183059
120	0.4648183059
121	0.4648183059
122	0.4648183059
123	0.4648183059
124	0.4648183059
125	0.4648183059
126	0.4648183059
127	0.4648183059
128	0.4648183059
129	0.4648183059
130	0.4648183059
131	0.4648183059
132	0.4648183059
133	0.4648183059
