iter	Passed	Remaining
0	424	42060
1	709	34773
2	989	31989
3	1246	29908
4	1529	29068
5	1816	28457
6	2085	27705
7	2360	27141
8	2650	26798
9	2920	26283
10	3200	25892
11	3482	25540
12	3750	25096
13	4010	24633
14	4275	24228
15	4524	23754
16	4790	23388
17	5088	23181
18	5349	22807
19	5637	22549
20	5923	22283
21	6182	21918
22	6465	21646
23	6669	21118
24	6910	20732
25	7152	20356
26	7412	20040
27	7694	19785
28	7924	19400
29	8189	19108
30	8457	18825
31	8723	18537
32	9010	18294
33	9282	18018
34	9540	17717
35	9806	17432
36	10066	17140
37	10336	16864
38	10619	16610
39	10887	16331
40	11152	16048
41	11421	15772
42	11700	15510
43	11956	15217
44	12219	14934
45	12489	14661
46	12751	14378
47	13011	14095
48	13269	13810
49	13488	13488
50	13751	13212
51	14016	12938
52	14280	12663
53	14540	12386
54	14795	12105
55	15065	11837
56	15325	11561
57	15589	11288
58	15852	11016
59	16127	10751
60	16404	10488
61	16660	10211
62	16926	9941
63	17194	9672
64	17445	9393
65	17708	9122
66	17943	8837
67	18212	8570
68	18439	8284
69	18717	8021
70	18948	7739
71	19209	7470
72	19452	7194
73	19704	6923
74	19940	6646
75	20206	6381
76	20465	6113
77	20720	5844
78	20943	5567
79	21207	5301
80	21440	5029
81	21689	4761
82	21925	4490
83	22149	4219
84	22418	3956
85	22681	3692
86	22949	3429
87	23206	3164
88	23475	2901
89	23745	2638
90	24008	2374
91	24275	2110
92	24538	1847
93	24808	1583
94	25075	1319
95	25348	1056
96	25564	790
97	25837	527
98	26069	263
99	26328	0
