iter	Logloss
0	0.6389593996
1	0.5896852218
2	0.5465931263
3	0.5080445837
4	0.4717915496
5	0.4413996726
6	0.4126951662
7	0.3877377242
8	0.3665136892
9	0.3471025098
10	0.3311923579
11	0.3153335034
12	0.301213517
13	0.2888623724
14	0.2779539072
15	0.2678015911
16	0.2585601343
17	0.2502003022
18	0.243043346
19	0.2360694735
20	0.2303421785
21	0.2245439389
22	0.2198185808
23	0.2152506686
24	0.2109221273
25	0.2072930955
26	0.2032754142
27	0.1997383282
28	0.1967194741
29	0.1937767509
30	0.1911676929
31	0.1879230098
32	0.185652012
33	0.1835705764
34	0.1816464557
35	0.17956026
36	0.1777800898
37	0.1760943642
38	0.1746492423
39	0.1730966394
40	0.1716821074
41	0.1703161546
42	0.1692017991
43	0.1677663079
44	0.1665532878
45	0.1656440865
46	0.1646237494
47	0.1632948447
48	0.1622114591
49	0.1613321238
50	0.1605226109
51	0.1595508908
52	0.158949747
53	0.1582241038
54	0.1573966719
55	0.1565590107
56	0.1561347372
57	0.1553498562
58	0.1548124604
59	0.1540267792
60	0.1534729082
61	0.152930354
62	0.1524291128
63	0.1520410115
64	0.1514596807
65	0.151080681
66	0.1505305469
67	0.1498068455
68	0.1492252268
69	0.1486677527
70	0.1483574733
71	0.1480657059
72	0.147616223
73	0.1471627155
74	0.1466230935
75	0.1463005825
76	0.1460943544
77	0.1456714192
78	0.1453270668
79	0.1451215545
80	0.1448010109
81	0.14406902
82	0.1437382346
83	0.1433418214
84	0.1430183504
85	0.1428981326
86	0.1423777977
87	0.1419883437
88	0.1417202361
89	0.1415574582
90	0.1411750177
91	0.1410122868
92	0.1407906972
93	0.1404897315
94	0.1401330422
95	0.1399943672
96	0.1396906684
97	0.1394935149
98	0.139477466
99	0.1390882127
100	0.1388348862
101	0.1384062181
102	0.1381975997
103	0.1380407084
104	0.1378051162
105	0.1375694531
106	0.1373363312
107	0.137003215
108	0.1366308507
109	0.1365507183
110	0.1364461951
111	0.1361780169
112	0.1357199278
113	0.1353939241
114	0.1352991734
115	0.1349827516
116	0.1348534891
117	0.1347565128
118	0.1344979355
119	0.1344386253
120	0.1342197228
121	0.133962241
122	0.1338120436
123	0.1337063269
124	0.1336700712
125	0.1335668645
126	0.1335511865
127	0.1333188748
128	0.1331662694
129	0.1331270624
130	0.1330865696
131	0.1330149915
132	0.1328738835
133	0.132617025
134	0.1324126218
135	0.132160948
136	0.1319640243
137	0.1318179742
138	0.1316565085
139	0.1316381411
140	0.1316063743
141	0.1313377893
142	0.1310089634
143	0.1309817371
144	0.1307492612
145	0.130533134
146	0.1304063766
147	0.1302909908
148	0.1302717827
149	0.130109583
150	0.1299532536
151	0.1298508178
152	0.1297683812
153	0.1297516547
154	0.129713011
155	0.1296913227
156	0.129487659
157	0.129468087
158	0.12935447
159	0.1292118023
160	0.1290903157
161	0.1288308434
162	0.1288120601
163	0.1287373589
164	0.1287232557
165	0.1286889655
166	0.128639029
167	0.1285604356
168	0.1284714994
169	0.1284315874
170	0.1282960215
171	0.1281991401
172	0.1280126507
173	0.1279948175
174	0.1279205153
175	0.1278666002
176	0.1277713842
177	0.1277462613
